,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,Tamil Nadu,ARIYALUR,2008,Kharif,Rice,24574.0,841.0
1,Tamil Nadu,ARIYALUR,2008,Whole Year,Arhar/Tur,209.0,841.0
2,Tamil Nadu,ARIYALUR,2008,Whole Year,Bajra,565.0,841.0
3,Tamil Nadu,ARIYALUR,2008,Whole Year,Banana,190.0,841.0
4,Tamil Nadu,ARIYALUR,2008,Whole Year,Cashewnut,31113.0,841.0
5,Tamil Nadu,ARIYALUR,2008,Whole Year,Castor seed,27.0,841.0
6,Tamil Nadu,ARIYALUR,2008,Whole Year,Coconut,335.0,841.0
7,Tamil Nadu,ARIYALUR,2008,Whole Year,Coriander,460.0,841.0
8,Tamil Nadu,ARIYALUR,2008,Whole Year,Cotton(lint),3566.0,841.0
9,Tamil Nadu,ARIYALUR,2008,Whole Year,Dry chillies,1774.0,841.0
10,Tamil Nadu,ARIYALUR,2008,Whole Year,Groundnut,14528.0,841.0
11,Tamil Nadu,ARIYALUR,2008,Whole Year,Jowar,6674.0,841.0
12,Tamil Nadu,ARIYALUR,2008,Whole Year,Maize,9797.0,841.0
13,Tamil Nadu,ARIYALUR,2008,Whole Year,Moong(Green Gram),39.0,841.0
14,Tamil Nadu,ARIYALUR,2008,Whole Year,Onion,21.0,841.0
15,Tamil Nadu,ARIYALUR,2008,Whole Year,Ragi,13.0,841.0
16,Tamil Nadu,ARIYALUR,2008,Whole Year,Sugarcane,8608.0,841.0
17,Tamil Nadu,ARIYALUR,2008,Whole Year,Sunflower,221.0,841.0
18,Tamil Nadu,ARIYALUR,2008,Whole Year,Sweet potato,2.0,841.0
19,Tamil Nadu,ARIYALUR,2008,Whole Year,Tapioca,258.0,841.0
20,Tamil Nadu,ARIYALUR,2008,Whole Year,Turmeric,10.0,841.0
21,Tamil Nadu,ARIYALUR,2008,Whole Year,Urad,1192.0,841.0
22,Tamil Nadu,ARIYALUR,2009,Kharif,Rice,25978.0,80462.0
23,Tamil Nadu,ARIYALUR,2009,Kharif,Small millets,404.0,649.0
24,Tamil Nadu,ARIYALUR,2009,Whole Year,Arhar/Tur,160.0,122.0
25,Tamil Nadu,ARIYALUR,2009,Whole Year,Bajra,644.0,1082.0
26,Tamil Nadu,ARIYALUR,2009,Whole Year,Banana,134.0,5761.0
27,Tamil Nadu,ARIYALUR,2009,Whole Year,Cashewnut,31188.0,9975.0
28,Tamil Nadu,ARIYALUR,2009,Whole Year,Castor seed,21.0,6.0
29,Tamil Nadu,ARIYALUR,2009,Whole Year,Coconut,336.0,5200.0
30,Tamil Nadu,ARIYALUR,2009,Whole Year,Coriander,338.0,134.0
31,Tamil Nadu,ARIYALUR,2009,Whole Year,Cotton(lint),4074.0,11033.0
32,Tamil Nadu,ARIYALUR,2009,Whole Year,Dry chillies,1676.0,608.0
33,Tamil Nadu,ARIYALUR,2009,Whole Year,Groundnut,13878.0,27002.0
34,Tamil Nadu,ARIYALUR,2009,Whole Year,Jowar,4959.0,7043.0
35,Tamil Nadu,ARIYALUR,2009,Whole Year,Maize,9979.0,23891.0
36,Tamil Nadu,ARIYALUR,2009,Whole Year,Moong(Green Gram),13.0,11.0
37,Tamil Nadu,ARIYALUR,2009,Whole Year,Onion,47.0,458.0
38,Tamil Nadu,ARIYALUR,2009,Whole Year,Ragi,47.0,130.0
39,Tamil Nadu,ARIYALUR,2009,Whole Year,Sesamum,1652.0,452.0
40,Tamil Nadu,ARIYALUR,2009,Whole Year,Sugarcane,6970.0,809944.0
41,Tamil Nadu,ARIYALUR,2009,Whole Year,Sunflower,111.0,148.0
42,Tamil Nadu,ARIYALUR,2009,Whole Year,Sweet potato,2.0,29.0
43,Tamil Nadu,ARIYALUR,2009,Whole Year,Tapioca,257.0,8858.0
44,Tamil Nadu,ARIYALUR,2009,Whole Year,Turmeric,21.0,106.0
45,Tamil Nadu,ARIYALUR,2009,Whole Year,Urad,1046.0,400.0
46,Tamil Nadu,ARIYALUR,2010,Kharif,Arhar/Tur,209.0,138.0
47,Tamil Nadu,ARIYALUR,2010,Kharif,Castor seed,27.0,7.0
48,Tamil Nadu,ARIYALUR,2010,Kharif,Cotton(lint),5684.0,9361.0
49,Tamil Nadu,ARIYALUR,2010,Kharif,Groundnut,12058.0,37266.0
50,Tamil Nadu,ARIYALUR,2010,Kharif,Maize,9996.0,8630.0
51,Tamil Nadu,ARIYALUR,2010,Kharif,Moong(Green Gram),4.0,2.0
52,Tamil Nadu,ARIYALUR,2010,Kharif,Ragi,42.0,109.0
53,Tamil Nadu,ARIYALUR,2010,Kharif,Rice,25211.0,97869.0
54,Tamil Nadu,ARIYALUR,2010,Kharif,Sunflower,202.0,245.0
55,Tamil Nadu,ARIYALUR,2010,Kharif,Urad,1526.0,741.0
56,Tamil Nadu,ARIYALUR,2010,Whole Year,Sugarcane,7500.0,739006.0
57,Tamil Nadu,ARIYALUR,2011,Kharif,Bajra,590.0,1499.0
58,Tamil Nadu,ARIYALUR,2011,Kharif,Cotton(lint),7661.0,36179.0
59,Tamil Nadu,ARIYALUR,2011,Kharif,Groundnut,9999.0,35766.0
60,Tamil Nadu,ARIYALUR,2011,Kharif,Jowar,1659.0,2114.0
61,Tamil Nadu,ARIYALUR,2011,Kharif,Maize,11778.0,60881.0
62,Tamil Nadu,ARIYALUR,2011,Kharif,Ragi,14.0,37.0
63,Tamil Nadu,ARIYALUR,2011,Kharif,Rice,24097.0,97257.0
64,Tamil Nadu,ARIYALUR,2011,Rabi,Bajra,6.0,18.0
65,Tamil Nadu,ARIYALUR,2011,Rabi,Cotton(lint),150.0,413.0
66,Tamil Nadu,ARIYALUR,2011,Rabi,Groundnut,3028.0,18093.0
67,Tamil Nadu,ARIYALUR,2011,Rabi,Jowar,15.0,22.0
68,Tamil Nadu,ARIYALUR,2011,Rabi,Maize,357.0,2374.0
69,Tamil Nadu,ARIYALUR,2011,Rabi,Ragi,3.0,9.0
70,Tamil Nadu,ARIYALUR,2011,Whole Year,Arhar/Tur,192.0,167.0
71,Tamil Nadu,ARIYALUR,2011,Whole Year,Banana,144.0,6292.0
72,Tamil Nadu,ARIYALUR,2011,Whole Year,Cashewnut,29930.0,6468.0
73,Tamil Nadu,ARIYALUR,2011,Whole Year,Castor seed,38.0,8.0
74,Tamil Nadu,ARIYALUR,2011,Whole Year,Coconut,323.0,2600000.0
75,Tamil Nadu,ARIYALUR,2011,Whole Year,Coriander,75.0,35.0
76,Tamil Nadu,ARIYALUR,2011,Whole Year,Dry chillies,735.0,509.0
77,Tamil Nadu,ARIYALUR,2011,Whole Year,Moong(Green Gram),6.0,4.0
78,Tamil Nadu,ARIYALUR,2011,Whole Year,Onion,26.0,329.0
79,Tamil Nadu,ARIYALUR,2011,Whole Year,Small millets,259.0,705.0
80,Tamil Nadu,ARIYALUR,2011,Whole Year,Sugarcane,7967.0,880259.0
81,Tamil Nadu,ARIYALUR,2011,Whole Year,Sunflower,228.0,418.0
82,Tamil Nadu,ARIYALUR,2011,Whole Year,Tapioca,273.0,10282.0
83,Tamil Nadu,ARIYALUR,2011,Whole Year,Turmeric,100.0,548.0
